"Title","Id","Url"
"Merge Documents","e4172600-1a4a-4672-ac5a-3ee73fb6a360","Forms/Combine"
"Relink Documents","77fe23ff-5b64-4f14-bcd5-7316f61e96af","Forms/repair"
"assetLibTemp","cff6da6b-0e8f-421a-ad93-fd4245427715","Forms/Thumbnails"
"RssView","51fc300d-46d4-4126-a4ef-e60e4d95a48a","Forms/RssView"
"All Documents","b8fbfc32-1505-45bf-a60c-08d9815c9a47","Forms/AllItems"
"My submissions","3d4f0593-67b8-4021-b4de-0b0235f94008","Forms/mysub"
"Approve/reject Items","fb6fd11c-ba8e-4d00-beca-a6f981ed2e42","Forms/modview"
"MinPageView","8694ccf9-1d6f-488e-8506-3cc7ae08a977","Forms/MinPageView"
"My submissions","0ef08e3f-b11f-462b-a963-8e8b33e656c9","Forms/Formsmysub"
"Approve/reject Items","98aeb130-5a77-4f1d-a62d-a7bdad74fd9b","Forms/Formsmodview"
